ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
4562,0.001,0.000,0.001,0.000,{method 'startswith' of 'str' objects}
171,0.001,0.000,0.001,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/mpmath/ctx_mp_python.py:47(__new__)
1122/569,0.001,0.000,0.002,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/expr.py:404(is_number)
10,0.001,0.000,0.001,0.000,{method 'split' of 're.Pattern' objects}
1499,0.001,0.000,0.001,0.000,{method 'update' of 'set' objects}
409/310,0.001,0.000,0.032,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/assumptions.py:464(_ask)
902,0.001,0.000,0.002,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/mpmath/libmp/libmpf.py:59(prec_to_dps)
6186,0.001,0.000,0.001,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:686(func)
3437,0.001,0.000,0.001,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:1215(_hashable_content)
2070,0.001,0.000,0.001,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/add.py:873(_eval_subs)
315,0.001,0.000,0.015,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/assumptions.py:424(__init__)
4001,0.001,0.000,0.001,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/logic.py:92(fuzzy_bool)
1668,0.001,0.000,0.002,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/numbers.py:2074(_as_mpf_val)
1807,0.001,0.000,0.006,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/mul.py:1990(<lambda>)
744,0.001,0.000,0.008,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/thermo/volume.py:608(calculate_P)
