OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Recorming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
227,444,HOUSTON REFINING LP,ACCESS INDUSTRIES,HOUSTON,Texas,3,,196.5,110,,,,11.3,400.6,100.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7016,-95.2518,,-10603377.53,3465245.046
228,461,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,NORTH POLE,Alaska,5,,,,,,,,,,3,EIA-820 Refinery Capacity Report,"As of January 1, 2023",64.8528,-147.7485,,-16447287.67,9569694.288
229,462,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,VALDEZ,Alaska,5,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",61.0819,-146.3818,,-16295143.21,8644657.326
230,465,CITGO PETROLEUM CORP,PDV AMERICA INC,LAKE CHARLES,Louisiana,3,,230,151,51.2,,118.2,56.1,410.5,110,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.1812,-93.3326,,-10389737.06,3526859.395
231,478,CITGO REFINING & CHEMICAL INC,PDV AMERICA INC,CORPUS CHRISTI,Texas,3,,85.3,71.4,,,51.5,25.2,273.5,45.1,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",27.8095,-97.4284,,-10845683.66,3224973.987
233,496,HF SINCLAIR WYOMING REFINING CO,HF SINCLAIR CORP,SINCLAIR,Wyoming,4,,51,22,16,,13,5,74,20,8,EIA-820 Refinery Capacity Report,"As of January 1, 2023",41.7802,-107.1095,,-11923376.22,5128105.6
234,497,HF SINCLAIR TULSA REFINING LLC,HF SINCLAIR CORP,TULSA EAST,Oklahoma,2,,27,30,,,25,18.5,99,,15.2,EIA-820 Refinery Capacity Report,"As of January 1, 2023",36.1167,-95.9999,,-10686665.44,4316697.769
235,499,HF SINCLAIR CASPER REFINING COMPANY,HF SINCLAIR CORP,EVANSVILLE,Wyoming,4,,,11,,,5,,25.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",42.8585,-106.2424,,-11826853.99,5290451.707
236,501,ALON REFINING KROTZ SPRINGS INC,DELEK GROUP LTD,KROTZ SPRINGS,Louisiana,3,,36.2,34,,,13,12.2,32,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.5265,-91.748,,-10213340.75,3571408.664
237,502,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,HOUSTON,Texas,3,,38,75.2,72,,,28.9,62.9,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7228,-95.2556,,-10603803.22,3467968.542
238,503,VALERO REFINING CO TEXAS LP,VALERO ENERGY CORP,TEXAS CITY,Texas,3,,133.5,86,,,18.1,21.2,286,53.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.3781,-94.8953,,-10563700.59,3423857.764
